index,step,ch,cc,midi_channel,curve,invert,min,max,threshold,role
0,0,0,20,0,linear,0,0,4095,8,RH_tone_1
1,0,1,21,0,linear,0,0,4095,8,RH_tone_2
2,0,2,22,0,linear,0,0,4095,8,RH_tone_3
3,0,3,23,0,linear,0,0,4095,8,RH_tone_4
4,0,4,24,0,linear,0,0,4095,8,RH_tone_5
5,0,5,25,0,linear,0,0,4095,8,RH_tone_6
6,0,6,26,0,linear,0,0,4095,8,RH_tone_7
7,0,7,27,0,linear,0,0,4095,8,RH_tone_8
8,1,0,28,0,linear,0,0,4095,8,RH_env_1
9,1,1,29,0,linear,0,0,4095,8,RH_env_2
10,1,2,30,0,linear,0,0,4095,8,RH_env_3
11,1,3,31,0,linear,0,0,4095,8,RH_env_4
12,1,4,32,0,linear,0,0,4095,8,RH_env_5
13,1,5,33,0,linear,0,0,4095,8,RH_env_6
14,1,6,34,0,linear,0,0,4095,8,RH_env_7
15,1,7,35,0,linear,0,0,4095,8,RH_env_8
16,2,0,36,0,log,1,200,3800,12,Bellows_primary
17,2,1,37,0,log,0,200,3800,12,Bellows_secondary
18,2,2,38,0,linear,0,0,4095,8,Bellows_zone_3
19,2,3,39,0,linear,0,0,4095,8,Bellows_zone_4
20,2,4,40,0,linear,0,0,4095,8,Bellows_zone_5
21,2,5,41,0,linear,0,0,4095,8,Bellows_zone_6
22,2,6,42,0,linear,0,0,4095,8,Bellows_zone_7
23,2,7,43,0,linear,0,0,4095,8,Bellows_zone_8
24,3,0,44,2,linear,0,0,4095,8,FX_send_1
25,3,1,45,2,linear,0,0,4095,8,FX_send_2
26,3,2,46,2,linear,0,0,4095,8,FX_send_3
27,3,3,47,2,linear,0,0,4095,8,FX_send_4
28,3,4,48,2,linear,0,0,4095,8,FX_send_5
29,3,5,49,2,linear,0,0,4095,8,FX_send_6
30,3,6,50,2,linear,0,0,4095,8,FX_send_7
31,3,7,51,2,linear,0,0,4095,8,FX_send_8
32,4,0,52,1,linear,0,0,4095,8,LH_register_1
33,4,1,53,1,linear,0,0,4095,8,LH_register_2
34,4,2,54,1,linear,0,0,4095,8,LH_register_3
35,4,3,55,1,linear,0,0,4095,8,LH_register_4
36,4,4,56,1,linear,0,0,4095,8,LH_register_5
37,4,5,57,1,linear,0,0,4095,8,LH_register_6
38,4,6,58,1,linear,0,0,4095,8,LH_register_7
39,4,7,59,1,linear,0,0,4095,8,LH_register_8
40,5,0,60,0,linear,0,0,4095,8,Filter_Mod_1
41,5,1,61,0,linear,0,0,4095,8,Filter_Mod_2
42,5,2,62,0,linear,0,0,4095,8,Filter_Mod_3
43,5,3,63,0,linear,0,0,4095,8,Filter_Mod_4
44,5,4,64,0,linear,0,0,4095,8,Filter_Mod_5
45,5,5,65,0,linear,0,0,4095,8,Filter_Mod_6
46,5,6,66,0,linear,0,0,4095,8,Filter_Mod_7
47,5,7,67,0,linear,0,0,4095,8,Filter_Mod_8
48,6,0,68,3,linear,0,0,4095,24,Dream_SampleSelect
49,6,1,69,3,expo,0,0,4095,16,Dream_LoopStart
50,6,2,70,3,expo,0,0,4095,16,Dream_LoopEnd
51,6,3,71,3,linear,0,0,4095,8,Dream_Envelope
52,6,4,72,3,linear,0,0,4095,8,Dream_ReverbSend
53,6,5,73,3,linear,0,0,4095,8,Dream_ChorusSend
54,6,6,74,3,expo,0,0,4095,10,Dream_FilterCutoff
55,6,7,75,3,linear,0,0,4095,8,Dream_FilterResonance
56,7,0,76,0,linear,0,0,4095,8,User_1
57,7,1,77,0,linear,0,0,4095,8,User_2
58,7,2,78,0,linear,0,0,4095,8,User_3
59,7,3,79,0,linear,0,0,4095,8,User_4
60,7,4,80,0,linear,0,0,4095,8,User_5
61,7,5,81,0,linear,0,0,4095,8,User_6
62,7,6,82,0,linear,0,0,4095,8,User_7
63,7,7,83,0,linear,0,0,4095,8,User_8
