File,BSS (bytes),Data (bytes),CCMRAM (bytes),Total (bytes)
0x200004f8                        _sbss = .,141476,0,0,141476
looper.o,42287,30,28832,71149
patch_adv.o,40964,0,0,40964
load address 0x08052f78,0,0,37024,37024
cli.o,13067,0,0,13067
cc_smoother.o,10296,20,0,10316
heap_4.o,10272,0,0,10272
oled_ssd1322.o,0,0,8192,8192
ui_page_looper_timeline.o,6159,1,0,6160
router.o,5128,0,0,5128
program_change_mgr.o,4744,0,0,4744
note_stabilizer.o,2664,0,0,2664
log.o,2306,0,0,2306
gate_time.o,2116,12,0,2128
ain.o,2052,0,0,2052
cmsis_os2.o,1876,0,0,1876
patch_system.o,1868,0,0,1868
midi_monitor.o,1840,0,0,1840
usbd_conf.o,1780,0,0,1780
tasks.o,1280,0,0,1280
load address 0x08052a80,0,1272,0,1272
main.o,1196,0,0,1196
quantizer.o,1120,52,0,1172
fatfs.o,1129,0,0,1129
test_config_runtime.o,1093,35,0,1128
bellows_shake.o,1116,0,0,1116
calibration_task.o,1113,0,0,1113
ainser_map.o,1092,0,0,1092
hal_uart_midi.o,1088,0,0,1088
arpeggiator_cli_integration.o,0,1060,0,1060
usb_midi.o,1040,12,0,1052
metronome_cli.o,0,1052,0,1052
perf_monitor.o,1026,0,0,1026
midi_delayq.o,1024,0,0,1024
usb_host.o,997,0,0,997
usbh_conf.o,992,0,0,992
channelizer.o,784,36,0,820
usbd_midi.o,528,267,0,795
din_map.o,772,0,0,772
usb_device.o,732,0,0,732
legato.o,580,24,0,604
assist_hold.o,552,20,0,572
usbd_composite.o,514,56,0,570
patch_sd_mount.o,564,0,0,564
usbd_desc.o,512,50,0,562
input.o,527,2,0,529
midi_din.o,416,0,0,416
libc_nano.a(libc_a-locale.o,4,364,0,368
test.o,353,12,0,365
libc_nano.a(libc_a-findfp.o,316,12,0,328
one_finger_chord.o,288,16,0,304
timers.o,300,0,0,300
bootloader_protocol.o,272,0,0,272
test_oled_mirror.o,267,0,0,267
patch_default_config.o,0,224,0,224
register_coupling.o,152,64,0,216
ui_page_modules.o,208,1,0,209
usb_midi_error_recovery.o,176,32,0,208
midi_filter.o,128,72,0,200
ui.o,136,48,0,184
ui_page_sysex.o,171,0,0,171
swing.o,112,42,0,154
dout_map.o,138,0,0,138
usbd_cdc.o,4,133,0,137
ui_page_config.o,136,0,0,136
module_registry.o,133,0,0,133
srio.o,130,0,0,130
config_io.o,129,0,0,129
note_repeat.o,88,34,0,122
bellows_expression.o,120,0,0,120
envelope_cc.o,100,20,0,120
ui_page_midi_monitor.o,103,8,0,111
scale.o,0,108,0,108
harmonizer.o,60,44,0,104
module_tests.o,0,104,0,104
lfo.o,96,6,0,102
chord.o,16,68,0,84
libc_nano.a(libc_a-impure.o,0,80,0,80
midi_converter.o,44,32,0,76
musette_detune.o,44,28,0,72
stm32f4xx_hal_timebase_tim.o,72,0,0,72
rhythm_trainer.o,71,0,0,71
velocity_compressor.o,28,40,0,68
queue.o,64,0,0,64
usb_midi_mtc.o,60,0,0,60
strum.o,24,28,0,52
input_task.o,51,0,0,51
arpeggiator.o,46,2,0,48
bass_chord_system.o,28,20,0,48
zones_cfg.o,48,0,0,48
nrpn_helper.o,40,0,0,40
ui_page_humanizer.o,4,36,0,40
ff.o,38,0,0,38
expression.o,37,1,0,38
usbh_core.o,36,0,0,36
dream_sysex.o,33,0,0,33
crtbegin.o,28,4,0,32
pressure_i2c.o,32,0,0,32
stm32f4xx_hal_flash.o,0,32,0,32
usbh_hid.o,0,32,0,32
usbh_midi.o,0,32,0,32
usbh_hid_keybd.o,31,0,0,31
ui_encoder_handler.o,29,0,0,29
metronome.o,9,17,0,26
instrument_cfg.o,24,0,0,24
livefx.o,24,0,0,24
usbh_hid_mouse.o,21,0,0,21
footswitch.o,21,0,0,21
user_diskio.o,0,21,0,21
router_hooks.o,20,0,0,20
usbd_cdc_if.o,0,20,0,20
spi_bus.o,8,8,0,16
ff_gen_drv.o,12,0,0,12
hal_ainser64_hw_step.o,10,1,0,11
ui_state.o,10,0,0,10
stm32f4xx_hal.o,4,5,0,9
port.o,5,4,0,9
ui_gfx.o,9,0,0,9
app_test_din_midi.o,8,0,0,8
syscalls.o,4,4,0,8
chord_cfg.o,8,0,0,8
libc_nano.a(libc_a-lock.o,8,0,0,8
libc_nano.a(libc_a-mallocr.o,8,0,0,8
patch_manager.o,0,8,0,8
midi_router.o,7,0,0,7
ui_page_automation.o,6,1,0,7
ain_raw_debug_task.o,4,0,0,4
midi_din_debug_task.o,4,0,0,4
app_test_task.o,4,0,0,4
sysmem.o,4,0,0,4
panic.o,4,0,0,4
libc_nano.a(libc_a-reent.o,4,0,0,4
system_stm32f4xx.o,0,4,0,4
humanize.o,0,4,0,4
ui_page_rhythm.o,2,1,0,3
safe_mode.o,2,1,0,3
ui_page_livefx.o,3,0,0,3
sd_spi.o,1,1,0,2
sd_guard.o,2,0,0,2
system_status.o,1,1,0,2
ui_page_song.o,2,0,0,2
bootloader.o,1,0,0,1
app_entry.o,1,0,0,1
delay_us.o,1,0,0,1
usbd_ctlreq.o,1,0,0,1
boot_reason.o,1,0,0,1
ui_page_looper.o,1,0,0,1
