File,BSS,Data,CCMRAM,Total
"looper.o",42111,70957,70943,184011
"patch_adv.o",40964,40964,40964,122892
"cli.o",13067,13067,13067,39201
"heap_4.o",10272,10272,10272,30816
"ui_page_looper_timeline.o",6159,6160,6159,18478
"oled_ssd1322.o",0,8192,8192,16384
"router.o",5128,5128,5128,15384
"log.o",2306,2306,2306,6918
"ain.o",2052,2052,2052,6156
"cmsis_os2.o",1876,1876,1876,5628
"patch_system.o",1868,1868,1868,5604
"midi_monitor.o",1840,1840,1840,5520
"tasks.o",1280,1280,1280,3840
"usbd_conf.o",1252,1252,1252,3756
"main.o",1196,1196,1196,3588
"calibration_task.o",1113,1113,1113,3339
"hal_uart_midi.o",1088,1088,1088,3264
"usb_midi.o",1040,1052,1040,3132
"midi_delayq.o",1024,1024,1024,3072
"usb_device.o",732,732,732,2196
"usbd_midi.o",528,795,528,1851
"patch_sd_mount.o",564,564,564,1692
"usbd_desc.o",512,562,512,1586
"input.o",513,513,513,1539
"midi_din.o",416,416,416,1248
"libc_nano.a(libc_a-findfp.o",316,328,316,960
"timers.o",300,300,300,900
"test_oled_mirror.o",267,267,267,801
"ui_page_sysex.o",171,171,171,513
"ui.o",136,184,136,456
"ui_page_config.o",136,136,136,408
"module_registry.o",133,133,133,399
"srio.o",130,130,130,390
"config_io.o",129,129,129,387
"libc_nano.a(libc_a-locale.o",0,364,0,364
"ui_page_midi_monitor.o",103,111,103,317
"lfo.o",96,102,96,294
"patch_default_config.o",0,224,0,224
"stm32f4xx_hal_timebase_tim.o",72,72,72,216
"rhythm_trainer.o",71,71,71,213
"queue.o",64,64,64,192
"zones_cfg.o",48,48,48,144
"ff.o",38,38,38,114
"expression.o",37,38,37,112
"scale.o",0,108,0,108
"pressure_i2c.o",32,32,32,96
"crtbegin.o",28,28,28,84
"libc_nano.a(libc_a-impure.o",0,80,0,80
"instrument_cfg.o",24,24,24,72
"livefx.o",24,24,24,72
"router_hooks.o",20,20,20,60
"ff_gen_drv.o",12,12,12,36
"spi_bus.o",8,16,8,32
"hal_ainser64_hw_step.o",10,11,10,31
"ui_state.o",10,10,10,30
"ui_gfx.o",9,9,9,27
"libc_nano.a(libc_a-mallocr.o",8,8,8,24
"user_diskio.o",0,21,0,21
"port.o",5,9,5,19
"ui_page_automation.o",6,7,6,19
"stm32f4xx_hal.o",4,9,4,17
"fatfs.o",5,5,5,15
"sysmem.o",4,4,4,12
"panic.o",4,4,4,12
"libc_nano.a(libc_a-reent.o",4,4,4,12
"ui_page_livefx.o",3,3,3,9
"safe_mode.o",2,3,2,7
"sd_guard.o",2,2,2,6
"ui_page_song.o",2,2,2,6
"libc_nano.a(libc_a-lock.o",2,2,2,6
"sd_spi.o",1,2,1,4
"system_status.o",1,2,1,4
"system_stm32f4xx.o",0,4,0,4
"humanize.o",0,4,0,4
"app_entry.o",1,1,1,3
"delay_us.o",1,1,1,3
"usbd_ctlreq.o",1,1,1,3
"boot_reason.o",1,1,1,3
"ui_page_looper.o",1,1,1,3
"ui_page_rhythm.o",1,1,1,3
