Section,Size (bytes),Symbol,Source
BSS,141476,"bss","0x200004f8                        _sbss = ."
BSS,41216,"undo_stacks","./Services/looper/looper.o"
BSS,40960,"g_entries","./Services/patch/patch_adv.o"
CCMRAM,37024,"ccmram","load address 0x08052f78"
CCMRAM,28832,"ccmram","./Services/looper/looper.o"
BSS,10288,"g_tracks","./Services/cc_smoother/cc_smoother.o"
BSS,10240,"ucHeap","./Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.o"
BSS,10240,"s_commands","./Services/cli/cli.o"
CCMRAM,8192,"ccmram","./Hal/oled_ssd1322/oled_ssd1322.o"
BSS,6144,"snap","./Services/ui/ui_page_looper_timeline.o"
BSS,5120,"g_routes","./Services/router/router.o"
BSS,4736,"g_presets","./Services/program_change_mgr/program_change_mgr.o"
BSS,2656,"g_stab","./Services/note_stabilizer/note_stabilizer.o"
BSS,2560,"s_history","./Services/cli/cli.o"
BSS,2304,"g_lines","./Services/log/log.o"
BSS,2112,"g_gate_time_config","./Services/gate_time/gate_time.o"
BSS,1868,"g_pm","./Services/patch/patch_system.o"
BSS,1792,"event_buffer","./Services/midi_monitor/midi_monitor.o"
BSS,1280,"g_keys","./Services/ain/ain.o"
DATA,1272,"data","load address 0x08052a80"
BSS,1252,"hpcd_USB_OTG_FS","./USB_DEVICE/Target/usbd_conf.o"
BSS,1120,"g_quantizer_config","./Services/quantizer/quantizer.o"
BSS,1120,"pxReadyTasksLists","./Middlewares/Third_Party/FreeRTOS/Source/tasks.o"
BSS,1104,"g_shake","./Services/bellows_shake/bellows_shake.o"
BSS,1072,"s_rx","./Hal/uart_midi/hal_uart_midi.o"
BSS,1040,"sysex_buffers","./Services/usb_midi/usb_midi.o"
DATA,1040,"s_arp_descriptor","./Services/cli/arpeggiator_cli_integration.o"
DATA,1040,"s_metronome_descriptor","./Services/cli/metronome_cli.o"
BSS,1024,"g_metrics","./Services/performance/perf_monitor.o"
BSS,1024,"0","./Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.o"
BSS,1024,"q","./Services/midi/midi_delayq.o"
