Module,BSS,Data,CCMRAM,Total,Percent
"Services/looper",42111,70957,70943,184011,102.36
"Services/patch",43396,43620,43396,130412,72.54
"Middlewares/FreeRTOS",13797,13801,13797,41395,23.03
"Services/cli",13067,13067,13067,39201,21.81
"Services/ui",6737,6795,6737,20269,11.27
"Hal/oled_ssd1322",0,8192,8192,16384,9.11
"Services/router",5128,5128,5128,15384,8.56
"USB_DEVICE",3024,3341,3024,9389,5.22
"Services/log",2306,2306,2306,6918,3.85
"Services/ain",2052,2052,2052,6156,3.42
"Services/midi_monitor",1840,1840,1840,5520,3.07
"Services/midi",1440,1440,1440,4320,2.40
"App",1381,1381,1381,4143,2.30
"Core",1272,1276,1272,3820,2.12
"Hal/uart_midi",1088,1088,1088,3264,1.82
"Services/usb_midi",1040,1052,1040,3132,1.74
"Services/input",513,513,513,1539,0.86
"Other/LibC",358,814,358,1530,0.85
"Services/module_registry",133,133,133,399,0.22
"Services/srio",130,130,130,390,0.22
"Services/config_io",129,129,129,387,0.22
"Services/lfo",96,102,96,294,0.16
"Services/rhythm_trainer",71,71,71,213,0.12
"Middlewares/Other",50,50,50,150,0.08
"Services/zones",48,48,48,144,0.08
"Services/expression",37,38,37,112,0.06
"Services/scale",0,108,0,108,0.06
"Services/pressure",32,32,32,96,0.05
"Services/instrument",24,24,24,72,0.04
"Services/livefx",24,24,24,72,0.04
"Services/router_hooks",20,20,20,60,0.03
"FATFS",6,28,6,40,0.02
"Hal/spi_bus.o",8,16,8,32,0.02
"Hal/ainser64_hw",10,11,10,31,0.02
"Services/system",6,7,6,19,0.01
"Drivers",4,9,4,17,0.01
"Services/safe",2,3,2,7,0.00
"Services/fs",2,2,2,6,0.00
"Services/humanize",0,4,0,4,0.00
"Hal/delay_us.o",1,1,1,3,0.00
"Middlewares/USB",1,1,1,3,0.00
